_ORGANIZATION_ENTITY_URN,FIVETRAN_SYNCED,FOLLOWER_COUNTS_ORGANIC_FOLLOWER_COUNT,FOLLOWER_COUNTS_PAID_FOLLOWER_COUNT
urn:li:organizationBrand:25736,2023-04-04,608,0
urn:li:organizationBrand:28981048,2023-04-04,5,0
urn:li:organization:37930,2023-04-04,8,0
urn:li:organization:18124695,2023-04-04,20,0
urn:li:organization:18124695,2023-04-04,3,0
urn:li:organizationBrand:25736,2023-04-04,36,0
urn:li:organization:10043,2023-04-04,499,0
urn:li:organizationBrand:28981048,2023-04-04,17,0
urn:li:organization:37930,2023-04-04,10,0
urn:li:organization:10043,2023-04-04,95,0
urn:li:organization:37930,2023-04-04,74,0
urn:li:organizationBrand:25736,2023-04-04,149,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,22,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,4,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,417,0
urn:li:organization:10043,2023-04-04,16,0
urn:li:organization:25736,2023-04-04,14,0
urn:li:organization:37930,2023-04-04,8,0
urn:li:organization:18124695,2023-04-04,47,0
urn:li:organization:25736,2023-04-04,95,0
urn:li:organization:18124695,2023-04-04,10,0
urn:li:organizationBrand:25736,2023-04-04,145,0
urn:li:organization:10043,2023-04-04,3031,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organizationBrand:25736,2023-04-04,8,0
urn:li:organization:18124695,2023-04-04,64,0
urn:li:organizationBrand:25736,2023-04-04,39,0
urn:li:organizationBrand:25736,2023-04-04,21,0
urn:li:organizationBrand:25736,2023-04-04,5060,0
urn:li:organization:37930,2023-04-04,8,0
urn:li:organizationBrand:28981048,2023-04-04,6,0
urn:li:organization:25736,2023-04-04,66,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,11,0
urn:li:organization:18124695,2023-04-04,3,0
urn:li:organizationBrand:25736,2023-04-04,307,0
urn:li:organizationBrand:25736,2023-04-04,11,0
urn:li:organizationBrand:25736,2023-04-04,31,0
urn:li:organizationBrand:28981048,2023-04-04,25,0
urn:li:organization:10043,2023-04-04,39,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:18124695,2023-04-04,109,0
urn:li:organizationBrand:25736,2023-04-04,22,0
urn:li:organization:10043,2023-04-04,40,0
urn:li:organization:37930,2023-04-04,16,0
urn:li:organizationBrand:25736,2023-04-04,16,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organization:18124695,2023-04-04,2,0
urn:li:organization:18124695,2023-04-04,1100,0
urn:li:organization:37930,2023-04-04,80,0
urn:li:organization:25736,2023-04-04,136,0
urn:li:organizationBrand:25736,2023-04-04,40,0
urn:li:organization:37930,2023-04-04,12,0
urn:li:organization:25736,2023-04-04,70,0
urn:li:organizationBrand:28981048,2023-04-04,3,0
urn:li:organization:25736,2023-04-04,9,0
urn:li:organization:25736,2023-04-04,10,0
urn:li:organization:25736,2023-04-04,8,0
urn:li:organization:37930,2023-04-04,3,0
