_SHARE_ENTITY_URN,_ORGANIZATION_ENTITY_URN,ENGAGEMENT,SHARE_COUNT,CLICK_COUNT,LIKE_COUNT,IMPRESSION_COUNT,COMMENT_COUNT,_FIVETRAN_ID,_FIVETRAN_SYNCED
urn:li:share:7074454369185787904,urn:li:organization:265920,0.1142857143,7,93,16,1015,0,91pC1l7feQqPxM6HHbY/T0EPNks=,2023-09-16
urn:li:share:7015315880288940032,urn:li:organization:265920,0.0415879017,0,3,21,529,0,r9L7fxV8TfjfeNxd75oKANnH3Hs=,2023-09-16
urn:li:ugcPost:6983070354164396032,urn:li:organization:265920,0.04356846473,0,11,11,482,0,dM5B+rNCRAtXBG2ZWibPSFLpTpU=,2023-09-16
urn:li:share:6988141485892263936,urn:li:organization:265920,0.05076923077,1,13,19,650,1,PJaXaPniU1+GlDjfvGrtdE6swZg=,2023-09-16
urn:li:ugcPost:6976639651163869185,urn:li:organization:265920,0.0575815739,0,14,17,521,0,/qWodevVObzBefOlL9G9YwmI1Us=,2023-09-16
urn:li:share:6992845708479373312,urn:li:organization:265920,0.02910602911,0,0,16,481,0,kipe7F7SXrGFwTvNxck6yRzOJc8=,2023-09-16
urn:li:share:7000473219661012992,urn:li:organization:265920,0.05980861244,1,17,8,418,0,sbzE86vn+VcbMwJjCyuhRr/PY4w=,2023-09-16
urn:li:share:6996834180990980096,urn:li:organization:265920,0.04464285714,0,1,15,336,0,C6lD1bkEugTP0UA4Xc6tJYGy1S0=,2023-09-16
urn:li:share:7003777681217503232,urn:li:organization:265920,0.02941176471,0,5,10,476,0,5EqqtSk3QTbTWPiJnzXcZ6eOTqo=,2023-09-16
urn:li:share:6984168768591532032,urn:li:organization:265920,0.05392156863,0,14,9,408,0,pRdUIdbmZdtbalRFkx7+AFj7SMs=,2023-09-16
urn:li:share:7006335629961691137,urn:li:organization:265920,0.1101573677,1,108,47,1398,1,f6pMqrAX/WV7lbY7epUONLxwVA0=,2023-09-16
urn:li:share:6990692755203129344,urn:li:organization:265920,0.04427083333,0,2,17,384,0,mXaenyMEM+lVGnJKE8hnnGCWQ4A=,2023-09-16
urn:li:share:7026608771812532224,urn:li:organization:265920,0.1110417966,0,113,64,1603,1,hve72ZuAv+2TsL006O+JK/nvEEQ=,2023-09-16
urn:li:share:6993256306354647040,urn:li:organization:265920,0.1463022508,0,74,19,622,0,D/v8lue5IILhTl7iM4TP3dd2xik=,2023-09-16
urn:li:share:7006670193577910272,urn:li:organization:265920,0.0253968254,0,3,5,315,0,RVxL8ISyo5O4U2GZmmZYplAbkoU=,2023-09-16
urn:li:share:6980532773237178368,urn:li:organization:265920,0.03343465046,0,5,20,658,0,SpUXqdLA6Qh9QOJ8SbyUAvsD+SE=,2023-09-16
urn:li:share:7011321960970276866,urn:li:organization:265920,0.07191448008,0,43,28,1029,3,xy/qDC0iVl8F9SqxMMsqyB9BNoA=,2023-09-16
urn:li:share:6981265267678978048,urn:li:organization:265920,0.05443548387,0,7,21,496,0,90tebA2AAKb53ALMjxe+eB5uxmE=,2023-09-16
urn:li:share:7036009015918673920,urn:li:organization:265920,0.03172205438,0,12,10,662,0,b0js75yYLJdFMFBl0bV5EpBur1g=,2023-09-16
urn:li:share:6993542395267076096,urn:li:organization:265920,0.04262877442,0,3,23,563,0,zxMiQi+aUPf1KSJcOfP2iV8aUoE=,2023-09-16
urn:li:share:7010670344835407872,urn:li:organization:265920,1.625,0,0,0,8,0,IxNJATv5Uavdbnmg4X4ADBY2Ixs=,2023-09-16
urn:li:ugcPost:6994306815849115648,urn:li:organization:265920,0.05787037037,0,17,9,432,0,/7J6kJAljNBHoQLEmW6fq/evrj4=,2023-09-16
urn:li:share:7020037619812102144,urn:li:organization:265920,0.07763401109,3,23,20,541,0,xRpf6ZgFGta+Q9Ai5v7blRalByk=,2023-09-16
urn:li:ugcPost:7070410425565122560,urn:li:organization:265920,0.09489051095,0,61,16,822,1,vJRuVhchTJxRfBfKebWqibtnSQI=,2023-09-16
urn:li:ugcPost:7023335788461379584,urn:li:organization:265920,0.03312302839,0,12,9,634,0,91l5GtqR+mHtJJs+rC6QSb1ZaOY=,2023-09-16
urn:li:ugcPost:7012437998852087808,urn:li:organization:265920,0.06102362205,0,18,12,508,1,1rqFdtBs1L2XeI7zlmr8hrASeOI=,2023-09-16
urn:li:share:7039983591770005504,urn:li:organization:265920,0.1308295501,6,208,93,2423,11,QrbjsmcvSUoleN3GkoPA+dYIGJ4=,2023-09-16
urn:li:share:7018596115243565057,urn:li:organization:265920,0.06375838926,0,30,10,596,0,pZMdkNCzPXT7MQ867PM98hgSgLM=,2023-09-16
urn:li:ugcPost:7047221582305325056,urn:li:organization:265920,0.04684512428,0,31,16,1046,3,XCStAAUJP57unVleOe8umJuimoQ=,2023-09-16
urn:li:share:7010670545897758720,urn:li:organization:265920,0.25,0,0,0,8,0,svpawmvq8PvrBMyghEbkRC0Lb5w=,2023-09-16
urn:li:share:7072589780714213376,urn:li:organization:265920,0.03961965135,1,5,18,631,0,PmDIxXXG+8BMVCqAR9FfsO1TEl4=,2023-09-16
urn:li:share:7073007539210125312,urn:li:organization:54114735,0.08352941176,7,83,46,1700,4,vEoi6ZhMVQnFLo3LiK0G5L5JbQU=,2023-09-16
urn:li:share:7016043650023346176,urn:li:organization:54114735,0.06506110712,20,86,74,2782,1,7uvx+Ci39q041zQyjX2EPwP8m1g=,2023-09-16
urn:li:share:6992881581761650688,urn:li:organization:54114735,0.05610179294,9,47,41,1729,1,fUoXyuoaZl9XOxnwa28ww45D6zE=,2023-09-16
urn:li:share:7041423322105991169,urn:li:organization:52118064,0.1410495748,0,478,183,4821,18,4/vDRE4re7ERCnjtQq4y77fHUTQ=,2023-09-16
urn:li:share:7092497672456077312,urn:li:organization:52118064,0.09375,1,81,62,1376,0,hs3384TqDPT1oKbSBiPP70BBvCk=,2023-09-16
urn:li:share:7055259401724559360,urn:li:organization:52118064,0.04699927693,0,39,25,1383,0,T5G4/znNgRDxcfi1s/mrl47T0dg=,2023-09-16
urn:li:share:7019021042685812736,urn:li:organization:52118064,0.1125,0,165,43,1840,0,S20sBZw2/fdbruyPydaoq8FBVQg=,2023-09-16
urn:li:share:7037186089937223681,urn:li:organization:52118064,0.04484304933,1,20,16,892,6,jg/L0MFsGzswhBHjIjYxyL3cwvM=,2023-09-16
urn:li:share:6996885884943941633,urn:li:organization:52118064,0.06161673262,0,69,39,1769,1,yGbRN7J/yywRhy6grQsRN7MXOWk=,2023-09-16
urn:li:share:7084274082959020032,urn:li:organization:52118064,0.0258780037,0,21,7,1082,0,Ko03SBNZb2aqp5GaWArYmqVkqFY=,2023-09-16
urn:li:share:7033839990862200833,urn:li:organization:52118064,0.02083333333,0,6,8,672,0,muNmhrdaGnO+7dlw1mEnPkMZcNE=,2023-09-16
urn:li:share:6986691457965322240,urn:li:organization:52118064,0.05551969012,4,37,45,1549,0,S+n+0O6fY/TeAJuFDH/9pm4khWU=,2023-09-16
urn:li:share:7000829955722948608,urn:li:organization:52118064,0.02290076336,0,11,4,655,0,b3Y4EMp83Ys77vBMw3k2teSQSCM=,2023-09-16
urn:li:ugcPost:7055681540722212864,urn:li:organization:52118064,0.01547116737,0,4,7,711,0,5tkLejL1ZHETP2zRNYsFZNf3W/U=,2023-09-16
urn:li:share:7021914462752305152,urn:li:organization:52118064,0.03336184773,2,16,20,1169,0,zKsfD9P6LaoQMVWlAXvkpTDBDx4=,2023-09-16
urn:li:share:7032378811392425984,urn:li:organization:52118064,0.02675585284,0,15,9,897,0,124xLsd+A/mio6ZuTtC7fFgCDD4=,2023-09-16
urn:li:share:7034915560870088704,urn:li:organization:52118064,0.01777777778,0,6,5,675,0,DAXIkk5u0McrOMICUWnyGptCPKc=,2023-09-16
